NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
K0530,RP-HMS-K30,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. Use this code for organizations that provide a wide range of food services or those that offer food-related services not specified below.",SNAP
K0534,RP-HMS-K34,Research Institutes and/or Public Policy Analysis,"Providing support to organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations.",SNAP
K0540,RP-HMS-K40,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness.",Unmapped
K11,MS-HMS-K00,Monetary Support - Single Organization,NA,Unmapped
K1120,MS-HMS-K20,Monetary Support - Single Organization,Providing support to organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below.,Unmapped
K12,MM-HMS-K00,Monetary Support - Multiple Organizations,NA,Unmapped
K19,NS-HMS-K00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
K1920,NS-HMS-K20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below.,Unmapped
K20,RG-HMS-K20,Organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below.,NA,Unmapped
K25,RG-HMS-K25,Organizations such as land trusts that work to ensure that farmland is preserved for farming purposes rather than freed for development or environmental quality purposes.,NA,Unmapped
K26,RG-HMS-K26,"Organizations that provide information, technical assistance and support for individuals or commercial establishments that are engaged in the keeping, grazing, feeding and/or sale of livestock. [Note: These organizations are typically found in section 501(c)(5).]",NA,Unmapped
K28,RG-HMS-K28,Organizations whose members are farmers or ranchers who have affiliated for the purpose of representing the interests of agricultural producers and rural communities. [Note: These organizations are typically found in section 501(c)(5).],NA,Unmapped
K2A,RG-HMS-K2A,NA,NA,Unmapped
K2B,RG-HMS-K2B,NA,NA,Unmapped
K2C,RG-HMS-K2C,NA,NA,Unmapped
K30,RG-HMS-K30,"Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. Use this code for organizations that provide a wide range of food services or those that offer food-related services not specified below.",NA,SNAP
K31,RG-HMS-K31,"Organizations that gather, store and distribute food to indigents at no charge or at low cost.",NA,SNAP
K34,RG-HMS-K34,"Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations.",NA,SNAP
K35,RG-HMS-K35,Organizations that provide meals in a central location for indigent people.,NA,SNAP
K36,RG-HMS-K36,"Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals.",NA,SNAP
K40,RG-HMS-K40,"Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness.",NA,Unmapped
K50,RG-HMS-K50,"Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities.",NA,Unmapped
K6A,RG-HMS-K6A,NA,NA,Unmapped
K6B,RG-HMS-K6B,NA,NA,Unmapped
K6C,RG-HMS-K6C,NA,NA,Unmapped
K6D,RG-HMS-K6D,NA,NA,Unmapped
K6E,RG-HMS-K6E,NA,NA,Unmapped
K6F,RG-HMS-K6F,NA,NA,Unmapped
K90,RG-HMS-K90,NA,NA,Unmapped
K91,RG-HMS-K91,NA,NA,Unmapped
K92,RG-HMS-K92,NA,NA,Unmapped
K93,RG-HMS-K93,NA,NA,Unmapped
K94,RG-HMS-K94,NA,NA,Unmapped
K95,RG-HMS-K95,NA,NA,Unmapped
K96,RG-HMS-K96,NA,NA,Unmapped
K97,RG-HMS-K97,NA,NA,Unmapped
K98,RG-HMS-K98,NA,NA,Unmapped
K99,RG-HMS-K99,"Use this code for organizations that clearly provide food, agriculture or nutrition services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",NA,SNAP
L01,AA-HMS-L00,Alliance/Advocacy Organizations,NA,Housing
L0120,AA-HMS-L20,Alliance/Advocacy Organizations,"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L0122,AA-HMS-L22,Alliance/Advocacy Organizations,"Providing support to residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.",Housing
L0141,AA-HMS-L41,Alliance/Advocacy Organizations,Providing support to organizations that provide a temporary place to stay for people who have no permanent housing.,Housing
L0150,AA-HMS-L50,Alliance/Advocacy Organizations,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L02,MT-HMS-L00,Management and Technical Assistance,NA,Housing
L0220,MT-HMS-L20,Management and Technical Assistance,"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L0221,MT-HMS-L21,Management and Technical Assistance,"Providing support to organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.",Housing
L0222,MT-HMS-L22,Management and Technical Assistance,"Providing support to residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.",Housing
L0250,MT-HMS-L50,Management and Technical Assistance,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L03,PA-HMS-L00,Professional Societies/Associations,NA,Housing
L0320,PA-HMS-L20,Professional Societies/Associations,"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L0321,PA-HMS-L21,Professional Societies/Associations,"Providing support to organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.",Housing
L0322,PA-HMS-L22,Professional Societies/Associations,"Providing support to residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.",Housing
L0350,PA-HMS-L50,Professional Societies/Associations,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L0380,PA-HMS-L80,Professional Societies/Associations,Providing support to organizations that provide supportive services which help people obtain and remain in suitable housing. Use this code for organizations that provide multiple supportive services or for supportive services specified below.,Housing
L05,RP-HMS-L00,Research Institutes and/or Public Policy Analysis,NA,Housing
L0550,RP-HMS-L50,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L11,MS-HMS-L00,Monetary Support - Single Organization,NA,Housing
L1120,MS-HMS-L20,Monetary Support - Single Organization,"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L1122,MS-HMS-L22,Monetary Support - Single Organization,"Providing support to residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.",Housing
L1150,MS-HMS-L50,Monetary Support - Single Organization,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L12,MM-HMS-L00,Monetary Support - Multiple Organizations,NA,Housing
L1220,MM-HMS-L20,Monetary Support - Multiple Organizations,"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L1221,MM-HMS-L21,Monetary Support - Multiple Organizations,"Providing support to organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.",Housing
L1250,MM-HMS-L50,Monetary Support - Multiple Organizations,"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L19,NS-HMS-L00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Housing
L1920,NS-HMS-L20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",Housing
L1921,NS-HMS-L21,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.",Housing
L1941,NS-HMS-L41,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that provide a temporary place to stay for people who have no permanent housing.,Housing
L1950,NS-HMS-L50,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",Housing
L20,RG-HMS-L20,"Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.",NA,Housing
L21,RG-HMS-L21,"Organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.",NA,Housing
L22,RG-HMS-L22,"Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.",NA,Housing
L24,RG-HMS-L24,"Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities.",NA,Housing
L25,RG-HMS-L25,"Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live.",NA,Housing
L30,RG-HMS-L30,Organizations that assist people to find available purchasable or rental housing which meets their individual needs.,NA,Housing
L40,RG-HMS-L40,"Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community.",NA,Housing
L41,RG-HMS-L41,Organizations that provide a temporary place to stay for people who have no permanent housing.,NA,Housing
L4A,RG-HMS-L4A,NA,NA,Unmapped
L4B,RG-HMS-L4B,NA,NA,Unmapped
L50,RG-HMS-L50,"Organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there.",NA,Housing
L80,RG-HMS-L80,Organizations that provide supportive services which help people obtain and remain in suitable housing. Use this code for organizations that provide multiple supportive services or for supportive services specified below.,NA,Housing
L81,RG-HMS-L81,"Organizations that provide assistance for homeowners who need to upgrade their homes to make them attractive, safe, accessible and energy efficient.",NA,Housing
L82,RG-HMS-L82,Organizations that provide home purchase or construction loans; finance new living accommodations; or pay current housing and/or utility bills for people who cannot afford to make the payments themselves and who qualify for this service on the basis of need or income.,NA,Housing
L99,RG-HMS-L99,Use this code for organizations that clearly provide housing or shelter services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Housing
M01,AA-HMS-M00,Alliance/Advocacy Organizations,NA,Unmapped
M0140,AA-HMS-M40,Alliance/Advocacy Organizations,Providing support to organizations that make the public aware of the measures that people can take to reduce the risk of accidents. Use this code for general safety programs or those that deal with a specific safety education issue not specified below.,Unmapped
M02,MT-HMS-M00,Management and Technical Assistance,NA,Unmapped
M03,PA-HMS-M00,Professional Societies/Associations,NA,Unmapped
M0324,PA-HMS-M24,Professional Societies/Associations,"Providing support to organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes.",Unmapped
M0340,PA-HMS-M40,Professional Societies/Associations,Providing support to organizations that make the public aware of the measures that people can take to reduce the risk of accidents. Use this code for general safety programs or those that deal with a specific safety education issue not specified below.,Unmapped
M05,RP-HMS-M00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
M0524,RP-HMS-M24,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes.",Unmapped
M11,MS-HMS-M00,Monetary Support - Single Organization,NA,Unmapped
M1124,MS-HMS-M24,Monetary Support - Single Organization,"Providing support to organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes.",Unmapped
M12,MM-HMS-M00,Monetary Support - Multiple Organizations,NA,Unmapped
M19,NS-HMS-M00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
M20,RG-HMS-M20,"Organizations that work to prevent, predict or control the effects of disasters (e.g. floods, earthquakes, fires, tornadoes), to educate or otherwise prepare individuals to cope with the effects of such disasters or to provide broad-based relief services to victims of such disasters. Use this code for organizations that provide a wide range of disaster services or for those that offer disaster services not specified below.",NA,Unmapped
M23,RG-HMS-M23,"Volunteer and other organizations that provide emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life-threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations.",NA,Unmapped
M24,RG-HMS-M24,"Organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes.",NA,Unmapped
M40,RG-HMS-M40,Organizations that make the public aware of the measures that people can take to reduce the risk of accidents. Use this code for general safety programs or those that deal with a specific safety education issue not specified below.,NA,Unmapped
M41,RG-HMS-M41,Organizations that provide instruction in the basic lifesaving techniques that are used in the administration of emergency assistance to individuals who have been injured prior to the arrival of trained medical personnel. Includes CPR instruction and instruction in techniques for relieving an individual who is choking.,NA,Unmapped
M42,RG-HMS-M42,"Organizations that make the public aware of the measures people can take to ensure their own safety and that of others while driving or riding as passengers in a motor vehicle, riding a bicycle, roller skating, skateboarding or walking as pedestrians in traffic.",NA,Unmapped
M60,RG-HMS-M60,Organizations whose primary purpose is to support the needs of public safety agencies and their personnel.,NA,Unmapped
M99,RG-HMS-M99,Use this code for organizations that clearly provide public safety or disaster services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
N01,AA-HMS-N00,Alliance/Advocacy Organizations,NA,Unmapped
N0161,AA-HMS-N61,Alliance/Advocacy Organizations,"Providing support to organizations that provide opportunities for people to learn and become competitive in archery; fly or bait fishing; game bird, game fowl, or game animal hunting; fox hunting; and/or the use of firearms on the target range.",Unmapped
N0164,AA-HMS-N64,Alliance/Advocacy Organizations,"Providing support to organizations that provide opportunities for people to learn and become competitive in soccer. Coaching, access to a soccer field, soccer equipment, uniforms, and officials for competitions are generally included.",Unmapped
N02,MT-HMS-N00,Management and Technical Assistance,NA,Unmapped
N0240,MT-HMS-N40,Management and Technical Assistance,Providing support to organizations such as intercollegiate athletic associations that promote athletic competition among member schools. Also includes separately organized private educational institutions that provide instruction in a particular sport or recreational activity.,Education
N03,PA-HMS-N00,Professional Societies/Associations,NA,Unmapped
N0320,PA-HMS-N20,Professional Societies/Associations,"Providing support to organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts.",Unmapped
N0330,PA-HMS-N30,Professional Societies/Associations,"Providing support to organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. Use this code for recreational facilities available to the general public and for recreational programs not specified below.",Unmapped
N0360,PA-HMS-N60,Professional Societies/Associations,"Providing support to organizations that provide opportunities for people of all ages to learn, become competitive in and enjoy the organized recreational activity, sport or game of their choice. These programs may be offered by local clubs devoted to a particular activity or sport; may provide individual or team coaching assistance or instruction, access to equipment and facilities, and uniforms, if necessary; and may sponsor or make arrangements for athletes to participate in amateur competitions, usually at the local or regional level, and provide officials for games. These events are generally for the enjoyment of the athletes and are not at a high enough competitive level to be considered spectator sports.",Unmapped
N0371,PA-HMS-N71,Professional Societies/Associations,"Providing support to organizations that prepare amateur athletes to participate in the Olympics, an international program of sports training and athletic competition which features a variety of sports and games, or in other similar competitions. Included are the national governing bodies for sports that are part of the Olympic and Pan-American Games whose charge is to select, train and manage athletes who represent the U.S. internationally.",Unmapped
N05,RP-HMS-N00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
N11,MS-HMS-N00,Monetary Support - Single Organization,NA,Unmapped
N1120,MS-HMS-N20,Monetary Support - Single Organization,"Providing support to organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts.",Unmapped
N1132,MS-HMS-N32,Monetary Support - Single Organization,"Providing support to organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails.",Unmapped
N1160,MS-HMS-N60,Monetary Support - Single Organization,"Providing support to organizations that provide opportunities for people of all ages to learn, become competitive in and enjoy the organized recreational activity, sport or game of their choice. These programs may be offered by local clubs devoted to a particular activity or sport; may provide individual or team coaching assistance or instruction, access to equipment and facilities, and uniforms, if necessary; and may sponsor or make arrangements for athletes to participate in amateur competitions, usually at the local or regional level, and provide officials for games. These events are generally for the enjoyment of the athletes and are not at a high enough competitive level to be considered spectator sports.",Unmapped
N1168,MS-HMS-N68,Monetary Support - Single Organization,"Providing support to organizations that provide opportunities for people to learn and become competitive in ice hockey, ice skating, alpine and cross-country skiing, sledding/tobogganing and other winter sports. Coaching; access to skating rinks, ski slopes or other facilities; sports equipment; and officials for competitions are generally included.",Unmapped
N1171,MS-HMS-N71,Monetary Support - Single Organization,"Providing support to organizations that prepare amateur athletes to participate in the Olympics, an international program of sports training and athletic competition which features a variety of sports and games, or in other similar competitions. Included are the national governing bodies for sports that are part of the Olympic and Pan-American Games whose charge is to select, train and manage athletes who represent the U.S. internationally.",Unmapped
N12,MM-HMS-N00,Monetary Support - Multiple Organizations,NA,Unmapped
N1220,MM-HMS-N20,Monetary Support - Multiple Organizations,"Providing support to organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts.",Unmapped
N1232,MM-HMS-N32,Monetary Support - Multiple Organizations,"Providing support to organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails.",Unmapped
N1260,MM-HMS-N60,Monetary Support - Multiple Organizations,"Providing support to organizations that provide opportunities for people of all ages to learn, become competitive in and enjoy the organized recreational activity, sport or game of their choice. These programs may be offered by local clubs devoted to a particular activity or sport; may provide individual or team coaching assistance or instruction, access to equipment and facilities, and uniforms, if necessary; and may sponsor or make arrangements for athletes to participate in amateur competitions, usually at the local or regional level, and provide officials for games. These events are generally for the enjoyment of the athletes and are not at a high enough competitive level to be considered spectator sports.",Unmapped
N1261,MM-HMS-N61,Monetary Support - Multiple Organizations,"Providing support to organizations that provide opportunities for people to learn and become competitive in archery; fly or bait fishing; game bird, game fowl, or game animal hunting; fox hunting; and/or the use of firearms on the target range.",Unmapped
N19,NS-HMS-N00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
N1932,NS-HMS-N32,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails.",Unmapped
N1964,NS-HMS-N64,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that provide opportunities for people to learn and become competitive in soccer. Coaching, access to a soccer field, soccer equipment, uniforms, and officials for competitions are generally included.",Unmapped
N20,RG-HMS-N20,"Organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts.",NA,Unmapped
N2A,RG-HMS-N2A,NA,NA,Unmapped
N2B,RG-HMS-N2B,NA,NA,Unmapped
N30,RG-HMS-N30,"Organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. Use this code for recreational facilities available to the general public and for recreational programs not specified below.",NA,Unmapped
N31,RG-HMS-N31,"Organizations that operate centers which offer, at a single location, a variety of recreational facilities such as athletic fields and courts, a gymnasium, a swimming pool and public lockers. Recreational centers usually offer an organized program of activities for community residents and provide all necessary equipment.",NA,Unmapped
N32,RG-HMS-N32,"Organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails.",NA,Unmapped
N40,RG-HMS-N40,Organizations such as intercollegiate athletic associations that promote athletic competition among member schools. Also includes separately organized private educational institutions that provide instruction in a particular sport or recreational activity.,NA,Education
N50,RG-HMS-N50,"Organizations that make available to members and their guests and facilities for recreational activities, sports and games. Also included are social clubs that provide opportunities for people to meet and socialize with their peers at dances, parties, picnics, barbecues and other companionable events; and special interest clubs which enable people to share hobbies or other interests with individuals with those same interests. [Many of these are 501(c)(7) organizations.]",NA,Unmapped
N52,RG-HMS-N52,"Organizations that sponsor, organize and promote fairs and festivals.  Includes collectible/antique fairs, county and state fairs, street fairs, festivals, parades, and other similar activities during religious and patriotic holidays and other special occasions.",NA,Unmapped
N60,RG-HMS-N60,"Organizations that provide opportunities for people of all ages to learn, become competitive in and enjoy the organized recreational activity, sport or game of their choice. These programs may be offered by local clubs devoted to a particular activity or sport; may provide individual or team coaching assistance or instruction, access to equipment and facilities, and uniforms, if necessary; and may sponsor or make arrangements for athletes to participate in amateur competitions, usually at the local or regional level, and provide officials for games. These events are generally for the enjoyment of the athletes and are not at a high enough competitive level to be considered spectator sports.",NA,Unmapped
N61,RG-HMS-N61,"Organizations that provide opportunities for people to learn and become competitive in archery; fly or bait fishing; game bird, game fowl, or game animal hunting; fox hunting; and/or the use of firearms on the target range.",NA,Unmapped
N62,RG-HMS-N62,"Organizations that provide opportunities for people to learn and become competitive in basketball. basketball equipment, uniforms, and officials for competitions are generally included.",NA,Unmapped
N63,RG-HMS-N63,"Organizations such as Little Leagues that provide opportunities for people to learn and become competitive in baseball or softball. Coaching, access to a baseball field, baseball equipment, uniforms, and managers and umpires for games are generally included.",NA,Unmapped
N64,RG-HMS-N64,"Organizations that provide opportunities for people to learn and become competitive in soccer. Coaching, access to a soccer field, soccer equipment, uniforms, and officials for competitions are generally included.",NA,Unmapped
N65,RG-HMS-N65,"Organizations that provide opportunities for people to learn and become competitive in football. Coaching, access to a football field, football equipment, uniforms, and referees for competitions are generally included.",NA,Unmapped
N66,RG-HMS-N66,"Organizations that provide opportunities for people to learn and become competitive in tennis, badminton, racquet ball, squash, table tennis and other racquet sports. Coaching, access to courts, equipment and officials for competitions are generally included.",NA,Unmapped
N67,RG-HMS-N67,"Organizations that provide opportunities for people to learn and become competitive in swimming, diving, snorkeling, surfing, water skiing, water polo, boating, white water rafting and other water sports. Coaching, access to a swimming pool or other facilities, sports equipment, and officials for competitions are generally included.",NA,Unmapped
N68,RG-HMS-N68,"Organizations that provide opportunities for people to learn and become competitive in ice hockey, ice skating, alpine and cross-country skiing, sledding/tobogganing and other winter sports. Coaching; access to skating rinks, ski slopes or other facilities; sports equipment; and officials for competitions are generally included.",NA,Unmapped
N69,RG-HMS-N69,"Organizations that provide opportunities for people to learn and become competitive in sports involving horseback riding and jumping. Coaching, access to riding and jumping facilities and officials for competitions are generally included.",NA,Unmapped
N6A,RG-HMS-N6A,"Organizations including public golf courses that provide opportunities for people to learn and become competitive in the game of golf. Coaching, access to a golf course, golf equipment, and officials for competitions are generally included.",NA,Unmapped
N70,RG-HMS-N70,"Organizations that sponsor sports competitions for amateurs at the national, state, or international level or competitions at multiple levels including the international level.",NA,Unmapped
N71,RG-HMS-N71,"Organizations that prepare amateur athletes to participate in the Olympics, an international program of sports training and athletic competition which features a variety of sports and games, or in other similar competitions. Included are the national governing bodies for sports that are part of the Olympic and Pan-American Games whose charge is to select, train and manage athletes who represent the U.S. internationally.",NA,Unmapped
N72,RG-HMS-N72,"Organizations that prepare people to participate in the Special Olympics, an international program of sports training and athletic competition for children and adults with disabilities which features a variety of sports and games, or in other similar competitions.",NA,Unmapped
N80,RG-HMS-N80,Membership organizations that are engaged in promoting the interests of individuals who are active or who have retired from professional sports.,NA,Unmapped
N99,RG-HMS-N99,"Use this code for organizations that clearly provide recreation, sports, leisure or athletics services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",NA,Unmapped
O01,AA-HMS-O00,Alliance/Advocacy Organizations,NA,Unmapped
